landbase,discount_path,path_family,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,invj-4pc-k1,inverse-j,0.04,+/-20%,9,8424.177112869902,9171.619692743938
1,invj-4pc-k1,inverse-j,0.04,+/-20%,10,6739.3416902959325,7708.8020688348615
1,invj-4pc-k1,inverse-j,0.04,+/-20%,11,8066.371308021703,5836.700806861363
1,invj-4pc-k1,inverse-j,0.04,+/-20%,12,9679.64556962605,8065.7121377293715
1,invj-4pc-k1,inverse-j,0.04,+/-20%,13,11615.574683551244,14811.915357262415
1,invj-4pc-k1,inverse-j,0.04,+/-20%,14,13938.689620261504,12661.96507922
1,invj-4pc-k1,inverse-j,0.04,+/-20%,15,16726.42754431379,10603.705347740877
1,invj-4pc-k2,inverse-j,0.04,NHF,1,65457.782,65457.782
1,invj-4pc-k2,inverse-j,0.04,NHF,2,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,3,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,4,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,5,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,6,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,7,30640.0,30640.0
1,invj-4pc-k2,inverse-j,0.04,NHF,8,11500.0,11500.0
1,invj-4pc-k2,inverse-j,0.04,NHF,9,21480.0,21480.0
1,invj-4pc-k2,inverse-j,0.04,NHF,10,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,11,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,12,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,13,0.0,30640.0
1,invj-4pc-k2,inverse-j,0.04,NHF,14,0.0,0.0
1,invj-4pc-k2,inverse-j,0.04,NHF,15,45420.0,11500.0
1,invj-4pc-k2,inverse-j,0.04,NDY,1,9619.610051840114,9619.610051840114
1,invj-4pc-k2,inverse-j,0.04,NDY,2,9619.610051840113,9619.610051782412
1,invj-4pc-k2,inverse-j,0.04,NDY,3,9619.610051840118,9392.358850552962
1,invj-4pc-k2,inverse-j,0.04,NDY,4,9619.610051840116,9003.430219495423
1,invj-4pc-k2,inverse-j,0.04,NDY,5,9619.610051840118,8488.158775395594
1,invj-4pc-k2,inverse-j,0.04,NDY,6,9619.610051840129,8276.798738144367
1,invj-4pc-k2,inverse-j,0.04,NDY,7,9619.610051840136,8119.705543061087
1,invj-4pc-k2,inverse-j,0.04,NDY,8,9619.61005184014,8585.447120536963
1,invj-4pc-k2,inverse-j,0.04,NDY,9,9619.61005184014,8520.059059619773
1,invj-4pc-k2,inverse-j,0.04,NDY,10,9619.61005184014,8524.125872823175
1,invj-4pc-k2,inverse-j,0.04,NDY,11,9619.61005184014,8524.12587261274
1,invj-4pc-k2,inverse-j,0.04,NDY,12,9619.610051840136,8524.125873341181
1,invj-4pc-k2,inverse-j,0.04,NDY,13,9619.610051840133,8524.125870355
1,invj-4pc-k2,inverse-j,0.04,NDY,14,9619.61005184014,8585.447119639999
1,invj-4pc-k2,inverse-j,0.04,NDY,15,22702.111104750453,8921.07149327263
1,invj-4pc-k2,inverse-j,0.04,-10%,1,13970.01914380047,13970.01914380047
1,invj-4pc-k2,inverse-j,0.04,-10%,2,12573.017229420415,12573.017229459627
1,invj-4pc-k2,inverse-j,0.04,-10%,3,11315.715506478375,11315.715506218103
1,invj-4pc-k2,inverse-j,0.04,-10%,4,10184.143955830536,10184.143956074411
1,invj-4pc-k2,inverse-j,0.04,-10%,5,9165.72956024748,9165.729560843061
1,invj-4pc-k2,inverse-j,0.04,-10%,6,8249.156604222728,8249.156605177797
1,invj-4pc-k2,inverse-j,0.04,-10%,7,7424.24094380046,7424.2409413
1,invj-4pc-k2,inverse-j,0.04,-10%,8,6681.816849420415,9047.11720103565
1,invj-4pc-k2,inverse-j,0.04,-10%,9,6013.635164478374,8121.619538994861
1,invj-4pc-k2,inverse-j,0.04,-10%,10,5412.271648030535,7336.974760086419
1,invj-4pc-k2,inverse-j,0.04,-10%,11,4871.044483227481,6603.277284695514
1,invj-4pc-k2,inverse-j,0.04,-10%,12,4383.940034904734,5942.9495577425005
1,invj-4pc-k2,inverse-j,0.04,-10%,13,3945.546031414261,13179.532609724665
1,invj-4pc-k2,inverse-j,0.04,-10%,14,6045.726213347412,11823.279456971684
1,invj-4pc-k2,inverse-j,0.04,-10%,15,50843.95720347543,10633.408649296036
1,invj-4pc-k2,inverse-j,0.04,-20%,1,17742.698304276168,17742.698304276168
1,invj-4pc-k2,inverse-j,0.04,-20%,2,14194.158643420933,14194.158642431516
1,invj-4pc-k2,inverse-j,0.04,-20%,3,11355.32691473674,11355.326915326155
1,invj-4pc-k2,inverse-j,0.04,-20%,4,9084.261531789407,9084.261532344306
1,invj-4pc-k2,inverse-j,0.04,-20%,5,7267.4092254315265,7267.409226883103
1,invj-4pc-k2,inverse-j,0.04,-20%,6,5813.9273803452215,5813.927379629754
1,invj-4pc-k2,inverse-j,0.04,-20%,7,7640.325777758285,7640.32578024
1,invj-4pc-k2,inverse-j,0.04,-20%,8,12287.26899399997,12296.669408900907
1,invj-4pc-k2,inverse-j,0.04,-20%,9,9829.815195199972,9837.335528073478
1,invj-4pc-k2,inverse-j,0.04,-20%,10,7863.852156159986,7869.868422199458
1,invj-4pc-k2,inverse-j,0.04,-20%,11,6291.081724927989,6295.894737692817
1,invj-4pc-k2,inverse-j,0.04,-20%,12,5032.865379942391,5036.715787935
