landbase,discount_rate,flow_policy,flow_denominator,period,projected_mcf,realized_mcf,projected_revenue,realized_revenue
1,0.02,-20%,volume,2,15350.706913001999,15350.706910951223,14278281.566635113,14176095.62436038
1,0.02,-20%,volume,3,12280.565530401605,10473.811462727172,12327939.708130814,10611286.118439246
1,0.02,-20%,volume,4,9824.452424321282,8379.04916978837,11210419.820810601,9492275.617561229
1,0.02,-20%,volume,5,7859.561939456993,6703.239344395421,9627154.716761729,8210778.510586344
1,0.02,-20%,volume,6,6287.649551565622,5362.591468543691,-2204454.7092399867,6769609.087210208
1,0.02,-20%,volume,7,7207.891071510589,7207.89107402,8828924.953009795,8828924.956083566
1,0.02,-20%,volume,8,16052.95410252675,15444.565311077778,22823907.549570996,21168836.416114874
1,0.02,-20%,volume,9,12842.3632820214,12355.65224498,15877068.839985682,16190755.35701436
1,0.02,-20%,volume,10,10273.890625617141,9884.521797942623,13146468.025769059,12479711.390294176
1,0.02,-20%,volume,11,8219.112500493688,7907.617443900001,10067567.160389328,9851310.08798756
1,0.02,-20%,volume,12,7810.4296631487,6326.09394882,10011226.782569682,8031013.722292877
1,0.02,-20%,volume,13,7207.891071510589,7207.89107402,8828924.953009795,8828924.956083566
1,0.02,-20%,volume,14,5766.312857208481,11748.690299439999,7132155.3127880385,14646534.252546292
1,0.02,-20%,volume,15,21766.832272331492,11839.288157133333,29822820.414839163,15977714.213688739
1,0.02,-20%,revenue,1,19188.383641252494,20708.5927985614,17248817.85586746,17889382.319688573
1,0.02,-20%,revenue,2,15350.706913001999,14892.595304321334,14278281.566635113,14311505.855194826
1,0.02,-20%,revenue,3,12280.565530401605,11256.533075638827,12327939.708130814,11449204.682689209
1,0.02,-20%,revenue,4,9824.452424321282,8082.734358269008,11210419.820810601,9159363.745898943
1,0.02,-20%,revenue,5,7859.561939456993,5920.255118409775,9627154.716761729,7327490.993327573
1,0.02,-20%,revenue,6,6287.649551565622,4597.071328219819,-2204454.7092399867,5861992.787926504
1,0.02,-20%,revenue,7,7207.891071510589,12006.69805364,8828924.953009795,14706969.763739806
1,0.02,-20%,revenue,8,16052.95410252675,12694.69281491,22823907.549570996,17494644.574327216
1,0.02,-20%,revenue,9,12842.3632820214,10433.51079711,15877068.839985682,13995715.662082706
1,0.02,-20%,revenue,10,10273.890625617141,8876.434282580001,13146468.025769059,11196572.525070366
1,0.02,-20%,revenue,11,8219.112500493688,7140.064696859417,10067567.160389328,8957258.025297007
1,0.02,-20%,revenue,12,7810.4296631487,5608.238023180001,10011226.782569682,7165806.415801911
1,0.02,-20%,revenue,13,7207.891071510589,13701.1597643,8828924.953009795,16878891.308573168
1,0.02,-20%,revenue,14,5766.312857208481,10783.99046876,7132155.3127880385,13503113.03517545
1,0.02,-20%,revenue,15,21766.832272331492,10037.502382864914,29822820.414839163,13401806.0986024
